name,weight,d,bf,tw,tf,h,d_linha,ag,ix,wx,rx,zx,iy,wy,ry,zy,rt,it,Cw
"W 200 x 52,0 (H)",52,206,204,"7,9","12,6",181,157,"66,9",5298,"514,4","8,9","572,5",1784,"174,9","5,2","265,8","5,6","33,3",166710
"HP 200 x 53,0 (H)",53,204,207,"11,3","11,3",181,161,"68,1",4977,488,"8,6","551,3",1673,"161,7",5,"248,6","5,6","31,9",155075
"W 200 x 59,0 (H)",59,210,205,"9,1","14,2",182,158,76,6140,"584,8",9,"655,9",2041,"199,1","5,2",303,"5,6","47,7",195418
"W 200 x 71,0 (H)",71,216,206,"10,2","17,4",181,161,91,7660,"709,2","9,2","803,2",2537,"246,3","5,3","374,5","5,7","81,7",249976
"W 200 x 86,0 (H)",86,222,209,13,"20,6",181,157,"110,9",9498,"855,7","9,3","984,2",3139,"300,4","5,3","458,7","5,8","142,2",317844
"W 250 x 17,9",18,251,101,"4,8","5,3",240,220,"23,1",2291,"182,6",10,211,91,"18,1",2,"28,8","2,5","2,5",13735
"W 250 x 22,3",22,254,102,"5,8","6,9",240,220,"28,9",2939,"231,4","10,1","267,7",123,"24,1","2,1","38,4","2,5","4,8",18629
"W 250 x 25,3",25,257,102,"6,1","8,4",240,220,"32,6",3473,"270,2","10,3","311,1",149,"29,3","2,1","46,4","2,6","7,1",22955
"W 250 x 28,4",28,260,102,"6,4",10,240,220,"36,6",4046,"311,2","10,5","357,3",178,"34,8","2,2","54,9","2,6","10,3",27636
"W 250 x 32,7",33,258,146,"6,1","9,1",240,220,"42,1",4937,"382,7","10,8","428,5",473,"64,8","3,4","99,7","3,9","10,4",73104
"W 250 x 38,5",39,262,147,"6,6","11,2",240,220,"49,6",6057,"462,4","11,1","517,8",594,"80,8","3,5","124,1","3,9","17,6",93242
"W 250 x 44,8",45,266,148,"7,6",13,240,220,"57,6",7158,"538,2","11,2","606,3",704,"95,1","3,5","146,4",4,"27,1",112398
"HP 250 x 62,0 (H)",62,246,256,"10,5","10,7",225,201,"79,6",8728,"709,6","10,5","790,5",2995,234,"6,1","357,8","6,9","33,5",417130
"W 250 x 73,0 (H)",73,253,254,"8,6","14,2",225,201,"92,7",11257,"889,9",11,"983,3",3880,"305,5","6,5","463,1",7,"56,9",552900
"W 250 x 80,0 (H)",80,256,255,"9,4","15,6",225,201,"101,9",12550,"980,5","11,1","1088,7",4313,"338,3","6,5","513,1",7,75,622878
"HP 250 x 85,0 (H)",85,254,260,"14,4","14,4",225,201,"108,5",12280,"966,9","10,6","1093,2",4225,325,"6,2","499,6",7,"82,1",605403
"W 250 x 89,0 (H)",89,260,256,"10,7","17,3",225,201,"113,9",14237,"1095,1","11,2","1224,4",4841,"378,2","6,5","574,3","7,1","102,8",712351
"W 250 x 101,0 (H)",101,264,257,"11,9","19,6",225,201,"128,7",16352,"1238,8","11,3",1395,5549,"431,8","6,6","656,3","7,1","147,7",828031
